Library,License,Link,,,
pluggy==0.9.0,MIT License (MIT license),https://pypi.org/project/pluggy/,,,
protobuf==3.9.1, 3-Clause BSD License,https://pypi.org/project/protobuf/,,,
psutil==5.6.1,BSD License (BSD),https://pypi.org/project/psutil/,,,
py==1.8.0,MIT License (MIT license),https://pypi.org/project/py/,,,
pycparser==2.19,BSD License (BSD),https://pypi.org/project/pycparser/,,,
pymongo==3.10.1,"Apache Software License (Apache License, Version 2.0)",https://pypi.org/project/pymongo/,,,
pyparsing==2.4.5,MIT License (MIT License),https://pypi.org/project/pyparsing/,,,
pytest==4.3.0, MIT License (MIT),https://pypi.org/project/pytest/,,,
pytest-cov==2.6.1,MIT License (MIT),https://pypi.org/project/pytest-cov/,,,
python-dateutil==2.8.0,"Apache Software License, BSD License (Dual License)",https://pypi.org/project/python-dateutil/,,,
pytz==2018.9,MIT License (MIT),https://pypi.org/project/pytz/,,,
PyWavelets==1.1.1,MIT License (MIT),https://pypi.org/project/PyWavelets/,,,
PyYAML==5.1.2,MIT License (MIT),https://pypi.org/project/PyYAML/5.1.2/,,,
requests==2.21.0,Apache Software License (Apache 2.0),https://pypi.org/project/requests/,,,
retrying==1.3.3,Apache Software License (Apache 2.0),https://pypi.org/project/retrying/,,,
scikit-image==0.16.2, BSD License (Modified BSD),https://pypi.org/project/scikit-image/0.16.2/,,,
scikit-learn==0.21.3,OSI Approved (new BSD),https://pypi.org/project/scikit-learn/0.21.3/,,,
scipy==1.3.1,BSD License (BSD),https://pypi.org/project/scipy/,,,
six==1.12.0,: MIT License (MIT),https://pypi.org/project/six/,,,
sklearn==0.0,OSI Approved (new BSD),https://pypi.org/project/scikit-learn/,,,
statsmodels==0.9.0,BSD License (BSD License),https://pypi.org/project/statsmodels/0.9.0/,,,
structlog==21.1.0,"Apache Software License, MIT License (MIT or Apache License, Version 2.0)",https://pypi.org/project/structlog/,,,
tabulate==0.8.9,MIT License (MIT),https://pypi.org/project/tabulate/,,,
tensorboard==1.13.1,Apache Software License (Apache 2.0),https://pypi.org/project/tensorboard/,,,
tensorflow==1.13.1,Apache Software License (Apache 2.0),https://pypi.org/project/tensorflow/,,,
tensorflow-estimator==1.13.0,Apache Software License (Apache 2.0),https://pypi.org/project/tensorflow-estimator/,,,
termcolor==1.1.0,MIT License (MIT),https://pypi.org/project/termcolor/,,,
tflearn==0.3.2,MIT,https://pypi.org/project/tflearn/0.3.2/,,,
toml==0.10.2,MIT License (MIT),https://pypi.org/project/toml/,,,
torch==1.2.0,BSD License (BSD-3),https://pypi.org/project/torch/,,,
torchvision==0.4.0,BSD,https://pypi.org/project/torchvision/,,,
tornado==6.0.1,Apache Software License (http://www.apache.org/licenses/LICENSE-2.0),https://pypi.org/project/tornado/,,,
tqdm==4.36.1," MIT License, Mozilla Public License 2.0 (MPL 2.0) (MPLv2.0, MIT Licences)",https://pypi.org/project/tqdm/,,,
typing-extensions==3.10.0.0,Python Software Foundation License (PSF),https://pypi.org/project/typing-extensions/,,,
urllib3==1.24.1,MIT License (MIT),https://pypi.org/project/urllib3/,,,
virtualenv==20.0.10,MIT License (MIT),https://pypi.org/project/virtualenv/,,,
Werkzeug==0.15.6,BSD License (BSD-3-Clause),https://pypi.org/project/Werkzeug/,,,
wimpy==0.6,MIT,https://pypi.org/project/wimpy/,,,
wrapt==1.11.2,BSD License (BSD),https://pypi.org/project/wrapt/,,,
yarg==0.1.9,MIT License (MIT),https://pypi.org/project/yarg/,,,
zipp==3.1.0,MIT License,https://pypi.org/project/zipp/,,,
convLSTM,Apache License 2.0,https://github.com/loliverhennigh/Convolutional-LSTM-in-Tensorflow/blob/master/License.md,,,
SAVP,MIT License (MIT),https://github.com/alexlee-gk/video_prediction/blob/master/LICENSE,,,
TrainModel,MIT License,https://github.com/alexlee-gk/video_prediction/blob/master/LICENSE,,,
MCnet,MIT License,https://github.com/rubenvillegas/iclr2017mcnet/blob/master/LICENSE,,,
flow_ops,MIT License,https://github.com/simonmeister/UnFlow/blob/master/LICENSE,,,
GoogleRobotDataset,Creative Commons Attribution 4.0 International,https://creativecommons.org/licenses/by/4.0/,,,
SNA,Apache License 2.0,http://www.apache.org/licenses/LICENSE-2.0,,,
SV2P,Apache License 2.0,http://www.apache.org/licenses/LICENSE-2.0,,,
lpips-tensorflow,BSD 2-Clause,https://github.com/alexlee-gk/lpips-tensorflow/blob/master/LICENSE
McNet_utils,MIT,https://github.com/Newmu/dcgan_code/blob/master/LICENSE
SoftMotionDataset, ,https://sites.google.com/view/sna-visual-mpc 
